address_id,address,matched,address_id2,address_matched,suburb,postcode,latitude,longitude,similarity
82,SHOP 18 KINGSTON CENTRAL PLAZA 288 CENTRE DANDENONG ROAD MENTONE 3194 VIC,1,1333989.0,KINGSTON CENTRAL PLAZA SHOP 18 288 CENTRE DANDENONG RD MOORABBIN AIRPORT VIC 3194,MOORABBIN AIRPORT,3194.0,-37.970619201660200,145.0923309326170,0.76
83,CORNER SHARP RD ASSEMBLY DRIVE TULLAMARINE 3043 VIC,0,,,,,,,
84,PAD SITE 1 CRANBOURNE HOMEMAKER CENTRE 398 SOUTH GIPPSLAND HWY CRANBOURNE 3977 VIC,1,14605687.0,SHOP 1 350 398 SOUTH GIPPSLAND HWY CRANBOURNE VIC 3977,CRANBOURNE,3977.0,-38.086307525634800,145.27880859375,0.6875
85,87 JAMES ST NORTHBRIDGE 6003 WA,1,15101539.0,87 JAMES ST NORTHBRIDGE WA 6003,NORTHBRIDGE,6003.0,-31.948957443237300,115.85832977294900,0.9615384615384620
86,644 BEAUFORT STREET MT LAWLEY 6050 WA,1,9080829.0,644 BEAUFORT ST MOUNT LAWLEY WA 6050,MOUNT LAWLEY,6050.0,-31.934825897216800,115.87226867675800,0.7931034482758620
87,TENANCY R5 COCKBURN GATEWAY SHOPPING CENTRE 816 BEELIAR DRIVE SUCCESS 6164 WA,1,10006378.0,COCKBURN GATEWAY SHOPPING CENT SHOP 5 816 BEELIAR DR SUCCESS WA 6164,SUCCESS,6164.0,-32.131011962890600,115.85657501220700,0.5429553264604810
88,145 OXFORD STREET LEEDERVILLE 6007 WA,1,3254375.0,145 OXFORD ST LEEDERVILLE WA 6007,LEEDERVILLE,6007.0,-31.936765670776400,115.84097290039100,0.9090909090909090
89,SHOP FB005 BELMONT FORUM SHOPPING CENTRE 227 BELMONT AVE CLOVERDALE 6105 WA,0.5,9785254.0,BELMONT FORUM SHOPPING CENTRE SHOP 65 227 BELMONT AV CLOVERDALE WA 6105,CLOVERDALE,6105.0,-31.96458625793460,115.9355239868160,0.6196078431372550
90,SHOP 1 316 CNR MARMION AND WHITFORD AVENUE HILLARYS 6025 WA,0,233076.0,SHOP 1 316 MILITARY RD CREMORNE NSW 2090,CREMORNE,2090.0,-33.82950973510740,151.22738647460900,0.2925170068027210
91,UNIT 2 319 NEW ENGLAND HIGHWAY RUTHERFORD 2320 NSW,1,4285239.0,UNIT 2 319 NEW ENGLAND HWY RUTHERFORD NSW 2320,RUTHERFORD,2320.0,-32.71269226074220,151.5188751220700,0.8985507246376810
92,CNR CHUNG WAH TCE LAMBRICK AVE BAKEWELL 832 NT,0,,,,,,,
93,726 DECEPTION BAY ROAD ROTHWELL 4022 QLD,1,848373.0,726 DECEPTION BAY RD ROTHWELL QLD 4022,ROTHWELL,4022.0,-27.21141815185550,153.04647827148400,0.9333333333333330
94,BUILDING 63 TENANCY T3 UQ PHYSICAL THEATRE AND REFECTORY BUILDING UNIVERSITY OF QUEENSLAND 4072 QLD,0,,,,,,,
95,CORNER CLEVELAND REDLAND BAY RD BUNKER RD VICTORIA POINT SHOPPING CENTRE VICTORIA POINT 4165 QLD,1,8464013.0,VICTORIA POINT SHOPPING CENTRE 2 34 BUNKER RD VICTORIA POINT QLD 4165,VICTORIA POINT,4165.0,-27.587841033935500,153.2809295654300,0.7368421052631580
96,SHOP 2052 EASTLAND SHOPPING CENTRE 175 MAROONDAH HWY RINGWOOD 3134 VIC,0.5,13326765.0,EASTLAND SHOPPING CENTRE SHOP 2 175 MAROONDAH HWY RINGWOOD VIC 3134,RINGWOOD,3134.0,-37.81483840942380,145.22959899902300,0.6136363636363640
97,BIRTINYA SERVICE CENTRE KAWANA WAY BIRTINYA 4575 QLD,0.5,6739099.0,566 KAWANA WAY BIRTINYA QLD 4575,BIRTINYA,4575.0,-26.7359676361084,153.1195068359380,0.640625
98,566 594 PRINCES HIGHWAY KIRRAWEE 2232 NSW,1,5267168.0,542 594 PRINCES HWY KIRRAWEE NSW 2232,KIRRAWEE,2232.0,-34.03236770629880,151.0758056640630,0.5208333333333330
99,249 MIDDLEBOROUGH ROAD BOX HILL 3128 VIC,1,10605206.0,249 MIDDLEBOROUGH RD BOX HILL SOUTH VIC 3128,BOX HILL SOUTH,3128.0,-37.837711334228500,145.13478088378900,0.8208955223880600
100,328 SALISBURY HIGHWAY SALISBURY DOWNS 5108 SA,1,12127792.0,328 SALISBURY HWY SALISBURY DOWNS SA 5108,SALISBURY DOWNS,5108.0,-34.77909851074220,138.62725830078100,0.8490566037735850
101,53 GOUGER ST ADELAIDE 5000 SA,1,6447343.0,53 GOUGER ST ADELAIDE SA 5000,ADELAIDE,5000.0,-34.93049621582030,138.59727478027300,0.9512195121951220
102,23 25 BURNS BAY ROAD LANE COVE 2066 NSW,1,12438357.0,23 25 BURNS BAY RD LANE COVE NSW 2066,LANE COVE,2066.0,-33.814334869384800,151.16900634765600,0.8928571428571430
103,SHOP 16 LEVEL 8 100 MILLER ST NORTH SYDNEY 2060 NSW,1,9277281.0,LEVEL 8 100 MILLER ST NORTH SYDNEY NSW 2060,NORTH SYDNEY,2060.0,-33.83781051635740,151.20663452148400,0.6492537313432840
104,11 6 8 CASTLE STREET CASTLE HILLS 2154 NSW,1,4187523.0,8 CASTLE LEA CT CASTLE HILL NSW 2154,CASTLE HILL,2154.0,-33.72699737548830,151.0279083251950,0.3157894736842110
105,90 ABBOTSFORD RD BOWEN HILLS 4006 QLD,1,3363988.0,90 ABBOTSFORD RD BOWEN HILLS QLD 4006,BOWEN HILLS,4006.0,-27.442916870117200,153.03839111328100,0.9811320754716980
106,SHOP 1 18 STAMFORD ROAD INDOOROOPILLY 4068 QLD,1,13529774.0,SHOP 1 18 STAMFORD RD INDOOROOPILLY QLD 4068,INDOOROOPILLY,4068.0,-27.49799346923830,152.97421264648400,0.9661016949152540
107,33 KING WILLIAM STREET ADELAIDE 5000 SA,1,15635993.0,33 KING WILLIAM ST ADELAIDE SA 5000,ADELAIDE,5000.0,-34.922786712646500,138.59913635253900,0.8679245283018870
108,325 NORTH EAST ROAD HILLCREST 5086 SA,1,9472860.0,325 NORTH EAST RD HILLCREST SA 5086,HILLCREST,5086.0,-34.86427688598630,138.64614868164100,0.8909090909090910
